InomTull,Tycker mig ha sett reklam i rutan för en debatt nu på Söndag. Löfven för sista gången annars blir det väl det gamla vanliga. Skulle kunna dyka upp något överraskande förstås kanske någon ny present från något håll. Hoppas också det blir publik i studion som det brukade vara.
Carnill,Hoppas också på att det blir med publik. Något jag skulle önska är att allmänheten vi vanliga väljare kunde få ställa frågor till politikerna i partiutfrågningar debatter. Hur det skulle gå till vet jag inte men kanske genom nån telefonsluss eller så.
hyssases,Kul med debatt ju mellan partiledarna hoppas på mycket Action. Gissningsvis lär väl Annie flippa på Jimmie i vanlig ordning
LegendenLarsVilks,Ska titta endast för att se Jimmie briljera. Brukar även se på Ulf och Ebba men resten av dinosaurierna spolar jag förbi
GROKNAK.Ankbonden,Löfven blir ju onekligen intressant att betrakta. Han är ju en lame duck nu och håller ej längre i S framtid man undrar ju lite om det gör honom tydligare han kan kanske kräma på bättre när han inte behöver bry sig framöver ändå eller om han blir än mer svammlig vet ej om det är möjligt men ingenting förvånar mig längre
litesliten,De ämnen som skall diskuteras samt debattmotståndare i inledande minidebatt utsedda. v mot SD och s mot m . Med mera.
101000111,Jobben skolan klimatet och kriminaliteten Lite förvånande att inte covid pandemin är ett ämne. I stort annars samma ämnen som vanligt.
ronaldo77,Skandal att inte kriminaliteten tar upp minst av debatten. Hur kan man ge kriminaliteten så lite utrymme när det är i särklass den viktigaste frågan just nu Vem fan kommer gå och ändra sin röst baserat på hur partierna ställer sig i skolpolitiken | Såg nu att dem låter Jimmie debattera skolan också Är detta ett skämt
RudyardKipling,Har du inte genomskådat detta ännu Redan inför valet insåg jag att det bara är en teater. Jag trodde i och för sig på JÅ då att han var på riktigt och ville landet folket väl. När han började tugga om öppen svenskhet övergav Swexit anklagade SDU för att vara rasister och nazister var i och för sig Mattias Karlsson och Jomshof vurmandet för Israel mm så placerar jag honom tills vidare i PK gänget som kontrollerad opposition. Undrar om det var i samband med hans sjukskrivning som de övertalade mutade hotade honom men han kom tillbaka som en annan man. Lyssna noga på nästa partiledardebatt så kommer ni inse att deras diskussioner den så kallade debatten är riggad och meningsskiljaktigheterna konstruerade. Vem bryr sig om man ska ha eller skatt x eller y pappadagar om koldioxidskatten ska vara si eller så. Var är den politiker som klart ser svenska folkets problem och i klartext kan beskriva dessa samt lösningar. Se tex hur Jordan Petersen fullkomligt krossade Annie Lööf i Skavlan när snacket om jämställdhet kom upp. Hon satt och mumlade förläget som en liten skolflicka. Inga av hennes normala retoriska grepp fungerade eller gavs ens möjlighet att få framföras. Tänk en sådan partiledare för ett parti i Sverige som slaktar alla förrädarna. Bortsett från invandringen och kriminaliteten så är något annat dagsaktuellt energifrågan. Hur kan ingen ryta ifrån att vi ska bygga kärnkraftverk så vi kan leverera el och leverera den billigt istället för opålitliga vindkraftverk och solpaneler. Vi har företag som inte tillåts etablera sig i storstadsregioner eftersom elleveransen inte kan garanteras. Kanske bra om den frågan inte tas upp nu utan att den sparas till efter vintern. Får vi en kostnad på kronor kilovatttimmen och ett normal villa gör av . kilovatt så kommer många få det jävligt knapert innan valet . Den saken är klar.
v50,Ämnena som ska tas upp i kvällens debatt är Klimatet Jobben Skolan och Kriminaliteten respektive ämne börjar med en debatt mellan två partiledare som duellerar sedan släpps resterande partiledare in. De som ska börja debattera i respektive ämne är Klimatet Per Bolund MP mot Nyamko Sabuni L Jobben Stefan Löfven S mot Ulf Kristersson M Skolan Nooshi Dadgostar V mot Jimmie Åkesson SD Kriminaliteten Annie Lööf C mot Ebba Busch KD
Mullret,Blir mycket popcorn i kväll. Hoppas på Kopparormen gör bort sig när hon går i spinn. Och att Bolund gör sina vanliga tankefel. Synd inte Stenevi kom till debatten. Hade varit magiskt att se och höra. Nåväl. Blir intressant.
